nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
-0.436423928,0.083865948,-0.002748837,-0.419029951,-0.056780543,-0.103259914,-0.490153134,-0.062882945,0.229613051,-0.44546926,0.185893774,-0.169714481,-0.460434616,0.190557495,0.222793475,-0.510833561,0.366837531,-0.037327394,-0.51631844,0.432222337,0.150062084,0.001303125,0.007091455,-0.073478259,-0.007034066,-0.008488365,0.075897172,0.064504012,0.390896708,-0.132838666,0.027672254,0.341702282,0.057894304,0.43906644,0.365475297,-0.020439154,0.42387712,0.389279336,0.155880675
0.461456537,0.048720524,-0.015700195,0.436724037,-0.047227845,0.176967785,0.499362618,-0.026256539,-0.051971428,0.477545559,0.190265998,0.201338619,0.440023035,0.205190852,-0.159686521,0.485358387,0.375328809,0.218039289,0.486743808,0.36745894,-0.139075056,-0.006371628,0.000529392,0.111758977,0.012433928,0.001763393,-0.108030282,-0.108428955,0.35380289,0.090240672,-0.037776746,0.387302965,-0.151369184,-0.467001259,0.385856181,0.209426254,-0.445960879,0.348712742,-0.038062502
0.301979929,0.039256208,-0.049132917,0.379806101,-0.015447915,0.130777642,0.432980597,-0.038608894,-0.062650211,0.406198531,0.233292133,0.153361082,0.355733931,0.17748329,-0.152459487,0.440563738,0.441072315,0.180411205,0.415354937,0.351180285,-0.147337481,0.003894152,0.013379174,0.101320229,0.001596246,-0.010714816,-0.099021107,0.014260812,0.420989424,0.027138976,0.026871553,0.400571346,-0.210031614,-0.350516021,0.453442216,0.138540402,-0.367322981,0.366066545,-0.022702303
-0.471538752,0.107025385,-0.050609492,-0.448826462,-0.055418309,-0.13451165,-0.516250134,-0.102167666,0.193192512,-0.521695554,0.161692604,-0.207263187,-0.507893741,0.112736195,0.196332932,-0.590301633,0.342371792,-0.092931271,-0.576743424,0.311838031,0.143919975,0.003376874,0.016261393,-0.075269632,-0.009270635,-0.017474947,0.076885499,0.11014986,0.395391196,-0.110508658,0.048812818,0.339933276,0.105051845,0.482314855,0.330172926,-0.009645104,0.436764359,0.341352284,0.221649513
0.376308352,0.057157949,-0.066228427,0.435396791,-0.013073152,0.133305818,0.484704345,-0.022325173,-0.094388373,0.502943158,0.218629897,0.167544246,0.443081439,0.209747821,-0.19110395,0.54924053,0.412057012,0.182755783,0.524118304,0.344183385,-0.174136654,0.001976733,0.005911452,0.119543448,0.004440942,-0.00253561,-0.116426758,-0.010164426,0.369201332,0.075031817,0.101612806,0.367042273,-0.150149554,-0.337216198,0.33888337,0.212852806,-0.283490658,0.255483478,-0.001116581
0.4249672,0.082203209,0.014998796,0.408711672,-0.029512933,0.193240136,0.495733052,-0.010681361,-0.014008,0.449796915,0.218288749,0.225600809,0.453979611,0.20661895,-0.115291484,0.50022167,0.41607976,0.267906308,0.534587681,0.366086692,-0.093587235,-0.0089641,0.001859783,0.108355135,0.015489478,0.001453287,-0.105748877,-0.035142578,0.381621629,0.07074938,0.049703442,0.376718581,-0.138360634,-0.387893736,0.413841873,0.172242388,-0.35425663,0.350623339,-0.010393927
0.33916083,0.059961163,-0.043579999,0.401142567,-0.025046162,0.131699413,0.456180692,-0.004856605,-0.068905324,0.413964689,0.210196361,0.175336897,0.385282069,0.240403458,-0.148607194,0.437257648,0.405694693,0.225950599,0.468891531,0.406614572,-0.120784044,0.003476959,0.000758851,0.115428045,0.003622697,0.002850788,-0.113063239,-0.05926238,0.380410582,0.06943661,0.001740918,0.410885125,-0.140307918,-0.424019247,0.353530467,0.165656313,-0.398481101,0.307764232,-0.033632368
0.460894942,0.074828774,-0.119736336,0.455914348,-0.014604744,0.05882895,0.460447937,-0.020600434,-0.125310898,0.532812655,0.223417744,0.093461573,0.430624902,0.180983931,-0.23333478,0.571004629,0.408365101,0.110760637,0.519769669,0.331868619,-0.220787495,0.018594721,0.010850232,0.106386393,-0.013040981,-0.008095998,-0.102412835,-0.048491772,0.372749239,0.082667105,-0.023772486,0.394111991,-0.127868101,-0.376303017,0.421876281,0.2401492,-0.398092359,0.342313826,0.029183811
0.385661185,-0.025273968,-0.060120661,0.401659876,-0.110679351,0.134364426,0.452431977,-0.125199735,-0.082531929,0.418551594,0.147495151,0.178447947,0.350116402,0.150911972,-0.163416103,0.392768741,0.367426634,0.236382499,0.346725762,0.342615724,-0.128280193,0.005118562,0.005059417,0.114363581,0.000920663,-0.003503601,-0.110580139,-0.0619708,0.353688926,0.100260794,-0.035697334,0.38664481,-0.144233122,-0.401384741,0.374070644,0.237702742,-0.436268359,0.337254167,-0.005304724
0.395248532,0.099994458,-0.012940077,0.426302284,0.010101963,0.154970348,0.498300374,0.027139295,-0.035372604,0.472352087,0.257497221,0.186972752,0.465008438,0.235006273,-0.13692978,0.530428171,0.43000555,0.210826799,0.562644541,0.373683333,-0.108758025,-0.003128381,0.006337765,0.104567826,0.00928615,-0.002486219,-0.101525187,-0.064256512,0.382992923,0.05331463,0.049870294,0.386246651,-0.143967479,-0.414147943,0.422131985,0.182047978,-0.349724472,0.349052936,-0.001931444
0.363354415,0.024341635,-0.096601106,0.382643819,-0.069486775,0.114495672,0.437489539,-0.087202102,-0.117453165,0.382277787,0.189485803,0.155712143,0.323853135,0.151496828,-0.207005739,0.35689202,0.40927127,0.196379274,0.320176572,0.326648295,-0.199236065,0.003703633,0.005282726,0.112398274,0.002308567,-0.003034755,-0.108744748,-0.067213982,0.359279484,0.088381246,0.002429698,0.39168033,-0.171559826,-0.409848392,0.386046052,0.21403414,-0.401326835,0.345042497,-0.026195331
-0.45764786,0.058655962,-0.01922011,-0.417391688,-0.094594471,-0.111691885,-0.463404328,-0.105423093,0.236632988,-0.415383071,0.137243807,-0.197281286,-0.387702763,0.150061443,0.242533326,-0.456843197,0.359497726,-0.090348832,-0.430255592,0.397221982,0.191653892,-0.00457005,0.009336535,-0.076472692,-8.72E-05,-0.011217536,0.07794141,0.06730713,0.397828877,-0.141818166,0.054512277,0.322113752,0.084525742,0.451861739,0.386616051,-0.035925735,0.437793285,0.388526082,0.189327717
0.395255685,0.043095082,-0.114118695,0.431619704,-0.045852166,0.089917317,0.457368642,-0.035662878,-0.135323584,0.461588115,0.202634513,0.133692697,0.386586815,0.205059096,-0.22029911,0.432859719,0.411199421,0.177145526,0.419862121,0.383970082,-0.189250723,0.015168596,0.001507217,0.115392469,-0.009280481,0.000995508,-0.111473672,-0.004421015,0.359773219,0.104181468,-0.012385788,0.38354966,-0.145973191,-0.362147719,0.369775981,0.252531707,-0.399551064,0.343741536,0.00814176
0.378105879,0.001704194,-0.037991323,0.387715161,-0.08446236,0.146942496,0.445845604,-0.114168108,-0.053105149,0.413931489,0.168171331,0.166107938,0.368317544,0.138507828,-0.14711763,0.373730332,0.409009993,0.212699473,0.344551951,0.331414521,-0.119638115,0.003814037,0.01401953,0.106580861,0.003256968,-0.012215369,-0.103225246,-0.132132143,0.389242053,0.044299055,-0.067453258,0.370732874,-0.146475419,-0.480179965,0.44827956,0.149888575,-0.479035527,0.342878819,-0.030519137
-0.427852392,0.084145129,-0.112700962,-0.39103058,-0.063322864,-0.19433485,-0.484282523,-0.073334835,0.145235002,-0.409399807,0.172163203,-0.266504228,-0.423619598,0.166417256,0.131357923,-0.461981922,0.359640688,-0.152823076,-0.469670892,0.388836294,0.045238204,0.012436106,0.008093515,-0.076863199,-0.01819003,-0.009588311,0.078498445,0.009025362,0.377839237,-0.145450056,-0.050543606,0.327691108,0.099995665,0.37637639,0.335843325,-0.034890451,0.360952467,0.346763462,0.210043684
